Account,Fund,Department,Project,BudgetRef,Amount,Descr,LineRef
5312,R,CA510,,,88.68,ITS CADS 06 2016,ITS-CADS
5312,R,CA510,05,,8.13,ITS CADS 06 2016,ITS-CADS
5312,R,CA510,10,,3.32,ITS CADS 06 2016,ITS-CADS
5312,R,CA510,11,,1.14,ITS CADS 06 2016,ITS-CADS
5312,R,CA510,14,,6.92,ITS CADS 06 2016,ITS-CADS
5312,R,CA512,,,0.75,ITS CADS 06 2016,ITS-CADS
5312,R,CA520,,,12.22,ITS CADS 06 2016,ITS-CADS
5312,R,CE100,,,165.57,ITS CADS 06 2016,ITS-CADS
5312,R,CE200,,,83.26,ITS CADS 06 2016,ITS-CADS
5312,R,CE510,IN,,57.51,ITS CADS 06 2016,ITS-CADS
5312,R,CE510,MS,,0.95,ITS CADS 06 2016,ITS-CADS
5312,R,CE510,SS,,2.83,ITS CADS 06 2016,ITS-CADS
5312,R,CH670,,,56.59,ITS CADS 06 2016,ITS-CADS
5312,R,CH671,,,3.82,ITS CADS 06 2016,ITS-CADS
5312,R,CP105,,,8.46,ITS CADS 06 2016,ITS-CADS
5312,R,CP511,,,100.44,ITS CADS 06 2016,ITS-CADS
5312,R,CS510,BU,,0.36,ITS CADS 06 2016,ITS-CADS
5312,R,CS510,HR,,2.17,ITS CADS 06 2016,ITS-CADS
5312,R,CS510,OP,,165.14,ITS CADS 06 2016,ITS-CADS
5312,R,CS519,PRGM,,4.57,ITS CADS 06 2016,ITS-CADS
5312,R,CS535,01,,36.78,ITS CADS 06 2016,ITS-CADS
5312,R,CS540,,,16.73,ITS CADS 06 2016,ITS-CADS
5312,R,CS550,,,0.08,ITS CADS 06 2016,ITS-CADS
5312,R,CS600,,,18.39,ITS CADS 06 2016,ITS-CADS
5312,R,PH300,,,111.55,ITS CADS 06 2016,ITS-CADS
5312,R,PH400,,,41.26,ITS CADS 06 2016,ITS-CADS
5312,R,PH500,,,93.98,ITS CADS 06 2016,ITS-CADS
5312,R,PH510,,,5.58,ITS CADS 06 2016,ITS-CADS
5312,R,PH600,,,304.63,ITS CADS 06 2016,ITS-CADS
5312,R,PY510,OP,,137.68,ITS CADS 06 2016,ITS-CADS
5312,S,20200,0401,,81.79,ITS CADS 06 2016,ITS-CADS
5312,S,4A370,02,,144.13,ITS CADS 06 2016,ITS-CADS
5312,S,43200,P101,,0.47,ITS CADS 06 2016,ITS-CADS
5312,S,43200,R6,,2.54,ITS CADS 06 2016,ITS-CADS
5312,S,45210,06,,0.28,ITS CADS 06 2016,ITS-CADS
5312,S,53360,01,,0.24,ITS CADS 06 2016,ITS-CADS
5312,S,53370,0101,,0.28,ITS CADS 06 2016,ITS-CADS
5312,S,53802,03,,87.17,ITS CADS 06 2016,ITS-CADS
5312,S,56100,16,,152.18,ITS CADS 06 2016,ITS-CADS
5312,S,60100,01,,105.82,ITS CADS 06 2016,ITS-CADS
5312,S,CH300,04,,2.30,ITS CADS 06 2016,ITS-CADS
5312,S,CP107,01,,42.27,ITS CADS 06 2016,ITS-CADS
5312,T,23999,,,11.45,ITS CADS 06 2016,ITS-CADS
5312,T,24103,,,19.24,ITS CADS 06 2016,ITS-CADS
5312,T,54105,01,,12.27,ITS CADS 06 2016,ITS-CADS
5312,T,61750,,,21.33,ITS CADS 06 2016,ITS-CADS
5312,T,70010,,,233.34,ITS CADS 06 2016,ITS-CADS
5312,T,71020,,,28.39,ITS CADS 06 2016,ITS-CADS
5312,T,72500,,,37.39,ITS CADS 06 2016,ITS-CADS
5312,T,77020,,,44.80,ITS CADS 06 2016,ITS-CADS
5312,T,81010,,,67.74,ITS CADS 06 2016,ITS-CADS
5312,T,83210,,,1.51,ITS CADS 06 2016,ITS-CADS
5312,T,83215,,,12.50,ITS CADS 06 2016,ITS-CADS
5312,T,83300,,,17.07,ITS CADS 06 2016,ITS-CADS
5312,T,83310,,,40.54,ITS CADS 06 2016,ITS-CADS
5312,T,84600,,,46.23,ITS CADS 06 2016,ITS-CADS
5312,T,90010,,,78.79,ITS CADS 06 2016,ITS-CADS
5312,T,70010,,,12.79,ITS CADS 06 2016,ITS-CADS
5312,Q,23400,01,,182.52,ITS CADS 06 2016,ITS-CADS
5312,R,23400,N001,,0.20,ITS CADS 06 2016,ITS-CADS
5312,R,23400,N012,,425.71,ITS CADS 06 2016,ITS-CADS
5312,R,23400,N021,,524.86,ITS CADS 06 2016,ITS-CADS
5312,R,23400,VISI,,93.82,ITS CADS 06 2016,ITS-CADS
5312,R,35400,04,,60.73,ITS CADS 06 2016,ITS-CADS
5312,R,35510,OP,,88.84,ITS CADS 06 2016,ITS-CADS
